comment,date,downvotes,gender,location,search,upvotes,user,video,views,cleancomment,sex,sexuality,stem,lemma
she is so yummy,2019-11-17 20:49:29 UTC,11,"Male, Heterosexual",Australia,POV,597,https://xhamster.com/users/stevedownunder,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,she is so yummy,Male,Heterosexual,['yummi'],['yummy']
Pretty pink hairy pussy!,2019-11-15 10:05:15 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/virginboy9777,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Pretty pink hairy pussy ,Male,Heterosexual,"['pretti', 'pink', 'hairi', 'pussi']","['pretty', 'pink', 'hairy', 'pussy']"
Fake cum...,2019-11-13 02:57:26 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/areolas88,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Fake cum ,Male,Heterosexual,"['fake', 'cum']","['fake', 'cum']"
bitch... ,2019-11-04 07:27:40 UTC,11,Female,Germany,POV,597,https://xhamster.com/users/loveandpain,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,bitch ,Female,Female,['bitch'],['bitch']
Superb!,2019-11-01 20:37:59 UTC,11,"Male, Heterosexual",Russian Federation,POV,597,https://xhamster.com/users/jajabum,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Superb ,Male,Heterosexual,['superb'],['superb']
Awesome,2019-10-29 15:35:43 UTC,11,"Transgender MtF, Bisexual",Bulgaria,POV,597,https://xhamster.com/users/nobarat,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Awesome,Transgender MtF,Bisexual,['awesom'],['awesome']
A shame those nipples are ruined...,2019-10-29 02:33:59 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/chasm,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,A shame those nipples are ruined ,Male,Heterosexual,"['shame', 'nippl', 'ruin']","['shame', 'nipple', 'ruin']"
"so cute, got me wet! time to get off!",2019-10-28 14:40:07 UTC,11,"Female, Bisexual",United States,POV,597,https://xhamster.com/users/ameliatyler69,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,so cute got me wet time to get off ,Female,Bisexual,"['cute', 'got', 'wet', 'time', 'get']","['cute', 'get', 'wet', 'time', 'get']"
The best tits and pussy,2019-10-28 08:03:54 UTC,11,"Male, Heterosexual",Israel,POV,597,https://xhamster.com/users/mandalkata,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,The best tits and pussy,Male,Heterosexual,"['best', 'tit', 'pussi']","['best', 'tit', 'pussy']"
Hot,2019-10-23 22:28:22 UTC,11,"Male, Heterosexual",Iraq,POV,597,https://xhamster.com/users/y1984,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Hot,Male,Heterosexual,['hot'],['hot']
Isn't daddy cock the best cock?,2019-10-23 18:41:25 UTC,11,"Male, Bisexual",United States,POV,597,https://xhamster.com/users/bobnyc,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Isn t daddy cock the best cock ,Male,Bisexual,"['daddi', 'cock', 'best', 'cock']","['daddy', 'cock', 'best', 'cock']"
"Was für ne geile Schlampe. Was für geile fette Hängetitten. Und das behaarte ""V"" über der Stinke-Muschi. Top!",2019-10-23 17:28:47 UTC,11,"Male, Bisexual",Germany,POV,597,https://xhamster.com/users/andi_bi6,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Was f r ne geile Schlampe Was f r geile fette H ngetitten Und das behaarte V ber der Stinke Muschi Top ,Male,Bisexual,"['f', 'r', 'ne', 'geil', 'schlamp', 'f', 'r', 'geil', 'fett', 'h', 'ngetitten', 'und', 'da', 'behaart', 'v', 'ber', 'der', 'stink', 'muschi', 'top']","['f', 'r', 'ne', 'geile', 'schlampe', 'f', 'r', 'geile', 'fette', 'h', 'ngetitten', 'und', 'da', 'behaarte', 'v', 'ber', 'der', 'stinke', 'muschi', 'top']"
Her tits are the great!,2019-10-23 17:17:12 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/treemini,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Her tits are the great ,Male,Heterosexual,"['tit', 'great']","['tit', 'great']"
Loved the geeky glasses! Nice smile lovely bouncing tits when she was riding his cock with those amazing pierced nipples you could see her love juices glistening on his big cock; I'd like her as a sister. TFP.,2019-10-23 17:01:20 UTC,11,"Male, Heterosexual",United Kingdom,POV,597,https://xhamster.com/users/steveharris,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Loved the geeky glasses Nice smile lovely bouncing tits when she was riding his cock with those amazing pierced nipples you could see her love juices glistening on his big cock I d like her as a sister TFP ,Male,Heterosexual,"['love', 'geeki', 'glass', 'nice', 'smile', 'love', 'bounc', 'tit', 'ride', 'cock', 'amaz', 'pierc', 'nippl', 'could', 'see', 'love', 'juic', 'glisten', 'big', 'cock', 'like', 'sister', 'tfp']","['love', 'geeky', 'glass', 'nice', 'smile', 'lovely', 'bounce', 'tit', 'rid', 'cock', 'amaze', 'pierce', 'nipple', 'could', 'see', 'love', 'juice', 'glisten', 'big', 'cock', 'like', 'sister', 'tfp']"
Well that was annoying......,2019-10-22 21:01:50 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/mendricha333,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Well that was annoying ,Male,Heterosexual,"['well', 'annoy']","['well', 'annoy']"
Stretch that sweet pussy and pull on those nipple bars,2019-10-22 20:31:39 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/big_bear_469,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Stretch that sweet pussy and pull on those nipple bars,Male,Heterosexual,"['stretch', 'sweet', 'pussi', 'pull', 'nippl', 'bar']","['stretch', 'sweet', 'pussy', 'pull', 'nipple', 'bar']"
The dark hair and glasses are getting me hard by themselves then u throw in the natural bouncy tits that are pierced?? Wow!!,2019-10-22 16:55:49 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/cutemachocub,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,The dark hair and glasses are getting me hard by themselves then u throw in the natural bouncy tits that are pierced Wow ,Male,Heterosexual,"['dark', 'hair', 'glass', 'get', 'hard', 'u', 'throw', 'natur', 'bounci', 'tit', 'pierc', 'wow']","['dark', 'hair', 'glass', 'get', 'hard', 'u', 'throw', 'natural', 'bouncy', 'tit', 'pierce', 'wow']"
Whata hairy animal.,2019-10-22 16:55:05 UTC,11,"Male and female couple, Heterosexual",United States,POV,597,https://xhamster.com/users/ih8breastimplantz,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,Whata hairy animal ,Male and female couple,Heterosexual,"['whata', 'hairi', 'anim']","['whata', 'hairy', 'animal']"
What a fabulous daughter.,2019-10-22 06:41:49 UTC,11,"Male, Heterosexual",United Kingdom,POV,597,https://xhamster.com/users/omega67,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,What a fabulous daughter ,Male,Heterosexual,"['fabul', 'daughter']","['fabulous', 'daughter']"
i think she is hot but dont like implied incest,2019-10-21 20:23:35 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/love23sum69,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,i think she is hot but dont like implied incest,Male,Heterosexual,"['think', 'hot', 'dont', 'like', 'impli', 'incest']","['think', 'hot', 'dont', 'like', 'imply', 'incest']"
awesome,2019-10-21 17:28:02 UTC,11,"Male, Heterosexual",United States,POV,597,https://xhamster.com/users/wood4000,https://xhamster.com/videos/busty-sis-has-pussy-stretched-by-bro-s-huge-dick-12663520,182894,awesome,Male,Heterosexual,['awesom'],['awesome']
Where is my step sister god damn it,2019-11-25 15:07:06 UTC,15,"Male, Heterosexual",Bulgaria,POV,1679,https://xhamster.com/users/youngflicker420,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Where is my step sister god damn it,Male,Heterosexual,"['step', 'sister', 'god', 'damn']","['step', 'sister', 'god', 'damn']"
"Wow she is amazing...hot as anything,love how she laughed at it going in her mouth",2019-11-19 17:15:10 UTC,15,"Male, Heterosexual",United Kingdom,POV,1679,https://xhamster.com/users/massageher,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Wow she is amazing hot as anything love how she laughed at it going in her mouth,Male,Heterosexual,"['wow', 'amaz', 'hot', 'anyth', 'love', 'laugh', 'go', 'mouth']","['wow', 'amaze', 'hot', 'anything', 'love', 'laugh', 'go', 'mouth']"
sexy girl,2019-11-12 20:01:19 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/barberpole,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,sexy girl,Male,Heterosexual,"['sexi', 'girl']","['sexy', 'girl']"
damn!,2019-11-12 15:48:17 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/dirtydmsxxx,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,damn ,Male,Heterosexual,['damn'],['damn']
That body is fuckin' outstanding!,2019-11-11 15:04:24 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/logan_8,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,That body is fuckin outstanding ,Male,Heterosexual,"['bodi', 'fuckin', 'outstand']","['body', 'fuckin', 'outstanding']"
Wow what a body had to jack off ,2019-11-11 14:20:38 UTC,15,"Male, Bisexual",Ireland,POV,1679,https://xhamster.com/users/normad,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Wow what a body had to jack off ,Male,Bisexual,"['wow', 'bodi', 'jack']","['wow', 'body', 'jack']"
hot,2019-11-10 19:27:27 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/scout1983,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,hot,Male,Heterosexual,['hot'],['hot']
Go Alex..,2019-11-09 19:47:38 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/zabbaman501,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Go Alex ,Male,Heterosexual,"['go', 'alex']","['go', 'alex']"
Very nice ,2019-11-09 11:41:19 UTC,15,"Male, Heterosexual",,POV,1679,https://xhamster.com/users/citizen_of_hamster,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Very nice ,Male,Heterosexual,['nice'],['nice']
she gets me so wet!,2019-11-08 17:02:09 UTC,15,"Female, Bisexual",United States,POV,1679,https://xhamster.com/users/ameliatyler69,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,she gets me so wet ,Female,Bisexual,"['get', 'wet']","['get', 'wet']"
Daaamn,2019-11-07 13:13:53 UTC,15,"Male, Heterosexual",North Macedonia,POV,1679,https://xhamster.com/users/sexorcist-mk,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Daaamn,Male,Heterosexual,['daaamn'],['daaamn']
Superb!,2019-11-07 05:25:47 UTC,15,"Male, Heterosexual",Russian Federation,POV,1679,https://xhamster.com/users/jajabum,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Superb ,Male,Heterosexual,['superb'],['superb']
Love her Septum Piercing,2019-11-06 19:05:31 UTC,15,"Male, Heterosexual",Germany,POV,1679,https://xhamster.com/users/neilprime,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Love her Septum Piercing,Male,Heterosexual,"['love', 'septum', 'pierc']","['love', 'septum', 'pierce']"
Damn she is hot i wouldn't have pulled out tho.,2019-11-06 17:18:51 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/st_john_green,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Damn she is hot i wouldn t have pulled out tho ,Male,Heterosexual,"['damn', 'hot', 'pull', 'tho']","['damn', 'hot', 'pull', 'tho']"
Awesome,2019-11-06 16:58:58 UTC,15,"Male, Heterosexual",Czech Republic,POV,1679,https://xhamster.com/users/magicstickk,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Awesome,Male,Heterosexual,['awesom'],['awesome']
I also help my brothers when they are needed,2019-11-06 16:35:33 UTC,15,"Female, Not sure",United States,POV,1679,https://xhamster.com/users/bukkakeslut88,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,I also help my brothers when they are needed,Female,Not sure,"['also', 'help', 'brother', 'need']","['also', 'help', 'brother', 'need']"
perfect tits and pussy,2019-11-06 10:16:32 UTC,15,"Male, Heterosexual",United Kingdom,POV,1679,https://xhamster.com/users/sexonleg,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,perfect tits and pussy,Male,Heterosexual,"['perfect', 'tit', 'pussi']","['perfect', 'tit', 'pussy']"
Very nice,2019-11-06 04:53:35 UTC,15,"Male, Heterosexual",United States,POV,1679,https://xhamster.com/users/zipper71,https://xhamster.com/videos/dylann-vox-big-sister-story-12792470,480441,Very nice,Male,Heterosexual,['nice'],['nice']
"Hot girls, nice cock!",2019-10-11 21:21:05 UTC,11,"Male and female couple, Heterosexual",United States,POV,415,https://xhamster.com/users/bluthird,https://xhamster.com/videos/caught-jerking-off-to-his-stepsis-friend-let-us-help-you-12401099,154554,Hot girls nice cock ,Male and female couple,Heterosexual,"['hot', 'girl', 'nice', 'cock']","['hot', 'girl', 'nice', 'cock']"
lucjy bastard,2019-10-01 14:30:46 UTC,11,"Male, Heteroflexible",Vatican City,POV,415,https://xhamster.com/users/tronymanero,https://xhamster.com/videos/caught-jerking-off-to-his-stepsis-friend-let-us-help-you-12401099,154554,lucjy bastard,Male,Heteroflexible,"['lucji', 'bastard']","['lucjy', 'bastard']"
"didn't see a blonde.  saw some bleached hair.  why do they try and sell it like that?  and why do they bleach their hair in the first place?  what does it matter if it's not the rare natural red?  point out the things that are different, and do so accurately.  for example pussies are naturally hairy so call the other ones bald because they're the ones that are different",2019-10-01 13:54:25 UTC,11,"Male, Heterosexual",,POV,415,https://xhamster.com/users/palendrome_eye,https://xhamster.com/videos/caught-jerking-off-to-his-stepsis-friend-let-us-help-you-12401099,154554,didn t see a blonde saw some bleached hair why do they try and sell it like that and why do they bleach their hair in the first place what does it matter if it s not the rare natural red point out the things that are different and do so accurately for example pussies are naturally hairy so call the other ones bald because they re the ones that are different,Male,Heterosexual,"['see', 'blond', 'saw', 'bleach', 'hair', 'tri', 'sell', 'like', 'bleach', 'hair', 'first', 'place', 'matter', 'rare', 'natur', 'red', 'point', 'thing', 'differ', 'accur', 'exampl', 'pussi', 'natur', 'hairi', 'call', 'one', 'bald', 'one', 'differ']","['see', 'blonde', 'saw', 'bleach', 'hair', 'try', 'sell', 'like', 'bleach', 'hair', 'first', 'place', 'matter', 'rare', 'natural', 'red', 'point', 'thing', 'different', 'accurately', 'example', 'pussy', 'naturally', 'hairy', 'call', 'one', 'bald', 'one', 'different']"
